frame,ID,car_type,x1,y1,x2,y2,center_x,center_y,front_x,front_y,back_x,back_y,width,height,lane
4.03,1, white car,207.11,469.24,238.12,483.84,222.62,476.54,207.11,476.54,238.12,476.54,31.01,14.6,3
4.07,1, white car,206.64,468.9,237.79,483.65,222.21,476.28,206.64,476.28,237.79,476.28,31.15,14.75,3
4.1,1, white car,206.32,468.77,237.4,483.58,221.86,476.18,206.32,476.18,237.4,476.18,31.08,14.81,3
4.13,1, white car,206.17,468.82,236.91,483.54,221.54,476.18,206.17,476.18,236.91,476.18,30.74,14.72,3
4.17,1, white car,205.97,468.76,236.54,483.45,221.26,476.11,205.97,476.11,236.54,476.11,30.57,14.7,3
4.2,1, white car,205.82,468.7,236.04,483.3,220.93,476.0,205.82,476.0,236.04,476.0,30.21,14.6,3
4.23,1, white car,205.47,468.57,235.39,483.12,220.43,475.85,205.47,475.85,235.39,475.85,29.92,14.54,3
4.27,1, white car,205.01,468.5,234.72,483.03,219.86,475.77,205.01,475.77,234.72,475.77,29.7,14.53,3
4.3,1, white car,204.7,468.52,234.12,482.98,219.41,475.75,204.7,475.75,234.12,475.75,29.42,14.46,3
4.33,1, white car,204.61,468.54,233.79,482.94,219.2,475.74,204.61,475.74,233.79,475.74,29.18,14.4,3
4.37,1, white car,204.39,468.55,233.3,482.86,218.84,475.7,204.39,475.7,233.3,475.7,28.91,14.32,3
4.4,1, white car,204.14,468.49,232.91,482.78,218.52,475.63,204.14,475.63,232.91,475.63,28.77,14.29,3
4.43,1, white car,203.93,468.48,232.54,482.73,218.23,475.6,203.93,475.6,232.54,475.6,28.61,14.25,3
4.47,1, white car,203.55,468.42,232.29,482.75,217.92,475.59,203.55,475.59,232.29,475.59,28.74,14.33,3
4.5,1, white car,203.16,468.43,232.02,482.81,217.59,475.62,203.16,475.62,232.02,475.62,28.85,14.38,3
4.53,1, white car,202.85,468.43,231.77,482.84,217.31,475.63,202.85,475.63,231.77,475.63,28.92,14.4,3
4.57,1, white car,202.46,468.4,231.59,482.88,217.02,475.64,202.46,475.64,231.59,475.64,29.14,14.49,3
4.6,1, white car,201.95,468.37,231.22,482.9,216.58,475.63,201.95,475.63,231.22,475.63,29.28,14.53,3
