Frame: 3.53, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.57, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.6, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.63, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.67, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.7, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.73, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.77, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.8, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.83, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.87, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.9, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.93, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 3.97, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.0, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.03, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.07, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.1, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.13, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.17, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.2, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.23, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.27, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.3, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.33, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.37, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.4, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.43, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.47, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.5, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.53, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.57, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.6, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.63, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.67, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.7, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.73, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.77, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.8, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.83, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.87, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.9, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.93, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 4.97, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 5.0, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.03, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.07, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.1, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.13, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
